engine,date,symbol,market,close,mom_5,mom_10,std_5,ret_1d,weight,wret
B,2026-02-10,2383,TWSE,2105.0,0.17927170868347342,0.20977011494252884,0.036088779305130644,0.04275534441805218,0.0625,0.002672209026128261
B,2026-02-10,2345,TWSE,1390.0,0.2192982456140351,0.20869565217391295,0.055567198604913444,0.043165467625899234,0.0625,0.002697841726618702
B,2026-02-10,2337,TWSE,89.6,0.05660377358490565,0.1758530183727034,0.07471401671081304,0.0993303571428572,0.0625,0.006208147321428575
B,2026-02-10,1342,TWSE,102.5,0.09158679446219375,0.07894736842105265,0.021284638927069034,-0.019512195121951237,0.0625,-0.0012195121951219523
B,2026-02-10,2367,TWSE,51.6,0.04878048780487809,0.06391752577319587,0.05171306304913706,0.01744186046511631,0.0625,0.0010901162790697694
B,2026-02-11,2337,TWSE,98.5,0.16568047337278102,0.29265091863517045,0.07510334851253705,0.050761421319796884,0.0625,0.0031725888324873053
B,2026-02-11,2345,TWSE,1450.0,0.2236286919831223,0.2554112554112553,0.04887225175562522,-0.03448275862068961,0.0625,-0.002155172413793101
B,2026-02-11,2368,TWSE,829.0,0.0980132450331126,0.20845481049562675,0.045822282969977465,-0.013268998793727338,0.0625,-0.0008293124246079586
B,2026-02-11,2383,TWSE,2195.0,0.18328840970350413,0.20604395604395598,0.03915695983079762,-0.009111617312072884,0.0625,-0.0005694760820045552
B,2026-02-11,1466,TWSE,17.4,0.17966101694915237,0.15999999999999992,0.04185844848818693,0.02298850574712663,0.0625,0.0014367816091954144
B,2026-02-11,2208,TWSE,23.5,0.10070257611241207,0.06818181818181812,0.013757298874537992,0.019148936170212627,0.0625,0.0011968085106382892
B,2026-02-11,2301,TWSE,179.5,0.05278592375366564,0.05899705014749257,0.02239884100137121,0.027855153203342642,0.0625,0.0017409470752089151
B,2026-02-11,2204,TWSE,59.3,0.07818181818181813,0.057040998217468664,0.018614751539405033,-0.003372681281618828,0.0625,-0.00021079258010117674
B,2026-02-23,2337,TWSE,103.5,0.1774744027303754,0.23508353221957035,0.04029867329552061,0.09661835748792269,0.0625,0.006038647342995168
B,2026-02-23,1466,TWSE,17.8,0.17491749174917492,0.22758620689655173,0.022071183281771354,-0.002808988764045006,0.0625,-0.0001755617977528129
B,2026-02-23,2345,TWSE,1400.0,0.24444444444444446,0.19658119658119655,0.05145260471651416,0.0035714285714285587,0.0625,0.00022321428571428492
B,2026-02-23,2313,TWSE,205.0,0.1647727272727273,0.1647727272727273,0.04473054372785182,0.10000000000000009,0.0625,0.0062500000000000056
B,2026-02-23,2383,TWSE,2175.0,0.11538461538461542,0.14473684210526305,0.03641334907412655,0.06206896551724128,0.0625,0.00387931034482758
B,2026-02-23,2103,TWSE,17.85,0.17049180327868863,0.13694267515923575,0.0470015687498487,0.0980392156862746,0.0625,0.006127450980392163
B,2026-02-23,2368,TWSE,818.0,0.07631578947368411,0.13611111111111107,0.04142726935905925,0.01833740831295838,0.0625,0.0011460880195598988
B,2026-02-23,2360,TWSE,1155.0,0.18583162217659144,0.11594202898550732,0.039023939440107604,0.06060606060606055,0.0625,0.0037878787878787845
B,2026-02-24,2383,TWSE,2310.0,0.19999999999999996,0.2905027932960893,0.028934617209816552,0.04761904761904767,0.0625,0.0029761904761904795
B,2026-02-24,2313,TWSE,225.5,0.3110465116279071,0.2668539325842696,0.07119076797984748,-0.07095343680709532,0.0625,-0.004434589800443457
B,2026-02-24,2103,TWSE,19.6,0.26860841423948245,0.26045016077170424,0.047017723893059624,0.061224489795918435,0.0625,0.003826530612244902
B,2026-02-24,2337,TWSE,113.5,0.40470297029702973,0.23235613463626503,0.06248255605968929,-0.048458149779735726,0.0625,-0.003028634361233483
B,2026-02-24,2367,TWSE,61.2,0.14392523364485976,0.2142857142857144,0.0605568183659545,-0.040849673202614345,0.0625,-0.0025531045751633966
B,2026-02-24,1466,TWSE,17.75,0.06606606606606613,0.21160409556313997,0.01919807030651655,0.022535211267605604,0.0625,0.0014084507042253502
B,2026-02-24,2360,TWSE,1225.0,0.26680455015511884,0.2068965517241379,0.039057823593147585,0.02448979591836742,0.0625,0.0015306122448979637
B,2026-02-24,2368,TWSE,833.0,0.11812080536912761,0.20375722543352603,0.03225953636401548,0.014405762304922076,0.0625,0.0009003601440576298
B,2026-02-25,2383,TWSE,2420.0,0.16346153846153855,0.38681948424068757,0.029593879487328792,0.008264462809917328,0.0625,0.000516528925619833
B,2026-02-25,2103,TWSE,20.8,0.2919254658385093,0.36393442622950833,0.052751503570306904,-0.014423076923076983,0.0625,-0.0009014423076923114
B,2026-02-25,2345,TWSE,1450.0,0.11111111111111116,0.3004484304932735,0.03626551202326094,-0.03448275862068961,0.0625,-0.002155172413793101
B,2026-02-25,2360,TWSE,1255.0,0.21844660194174748,0.2806122448979591,0.04171860741572875,0.09960159362549792,0.0625,0.00622509960159362
B,2026-02-25,1802,TWSE,61.3,0.37598204264870927,0.2704663212435232,0.044326543552945866,-0.0032626427406198255,0.0625,-0.0002039151712887391
B,2026-02-25,1303,TWSE,94.9,0.21666666666666679,0.25032938076416333,0.04826785802599961,-0.03266596417281353,0.0625,-0.002041622760800846
B,2026-02-25,2313,TWSE,209.5,0.21449275362318843,0.23964497041420119,0.07543050453859236,-0.023866348448687402,0.0625,-0.0014916467780429626
B,2026-02-25,1466,TWSE,18.15,0.05217391304347818,0.23890784982935132,0.04484670522454252,0.09917355371900838,0.0625,0.006198347107438024
B,2026-02-26,2360,TWSE,1380.0,0.32692307692307687,0.42121524201853755,0.033535108991126716,0.09782608695652173,0.0625,0.006114130434782608
B,2026-02-26,2103,TWSE,20.5,0.26543209876543217,0.40410958904109595,0.07728632066997838,-0.07804878048780495,0.0625,-0.004878048780487809
B,2026-02-26,2383,TWSE,2440.0,0.15914489311163904,0.3669467787114846,0.03693404033865337,-0.024590163934426257,0.0625,-0.001536885245901641
B,2026-02-26,1466,TWSE,19.95,0.12711864406779672,0.3617747440273036,0.04498630696510769,-0.01754385964912275,0.0625,-0.001096491228070172
B,2026-02-26,1802,TWSE,61.1,0.42757009345794406,0.3592880978865405,0.04440213103569332,0.09983633387888702,0.0625,0.006239770867430439
B,2026-02-26,2338,TWSE,49.2,0.44918998527245946,0.3261455525606469,0.00022008840936311763,0.09959349593495936,0.0625,0.00622459349593496
B,2026-02-26,2367,TWSE,64.5,0.25,0.3109756097560974,0.060539731355720765,0.09922480620155039,0.0625,0.006201550387596899
B,2026-02-26,1303,TWSE,91.8,0.26098901098901095,0.30028328611898014,0.05302133464758185,-0.025054466230936767,0.0625,-0.001565904139433548
B,2026-03-02,2360,TWSE,1515.0,0.44285714285714284,0.45673076923076916,0.07377281372060195,-0.07920792079207917,0.0625,-0.004950495049504948
B,2026-03-02,2338,TWSE,54.1,0.6077265973254087,0.40702210663198946,0.046212305457054674,-0.003696857670979714,0.0625,-0.00023105360443623213
B,2026-03-02,2337,TWSE,116.0,0.17766497461928932,0.3727810650887573,0.07863238885429644,-0.09913793103448276,0.0625,-0.006196120689655173
B,2026-03-02,1802,TWSE,67.2,0.42826780021253996,0.3603238866396763,0.06857360918981409,-0.05208333333333337,0.0625,-0.0032552083333333356
B,2026-03-02,1466,TWSE,19.6,0.12643678160919558,0.32881355932203404,0.06320995631723934,-0.07397959183673486,0.0625,-0.004623724489795929
B,2026-03-02,2367,TWSE,70.9,0.3504761904761906,0.3105360443622922,0.06348242803804997,0.021156558533145242,0.0625,0.0013222849083215776
B,2026-03-02,2103,TWSE,18.9,0.1630769230769229,0.3079584775086506,0.06886056228505874,0.039682539682539764,0.0625,0.0024801587301587352
B,2026-03-02,2383,TWSE,2380.0,0.08428246013667429,0.28301886792452824,0.04031039191600703,-0.025210084033613467,0.0625,-0.0015756302521008417
B,2026-03-03,2103,TWSE,19.65,0.10084033613445365,0.2885245901639344,0.0561149027595017,-0.03307888040712459,0.0625,-0.002067430025445287
B,2026-03-03,2313,TWSE,224.5,0.09512195121951228,0.2755681818181819,0.06732658625355412,-0.060133630289532336,0.0625,-0.003758351893095771
B,2026-03-03,2367,TWSE,72.4,0.29982046678635554,0.2569444444444444,0.06527319760574848,-0.019337016574585753,0.0625,-0.0012085635359116095
B,2026-03-03,1313,TWSE,12.55,0.16203703703703698,0.20673076923076916,0.039834034060993284,0.019920318725099584,0.0625,0.001245019920318724
B,2026-03-03,2383,TWSE,2320.0,0.06666666666666665,0.18974358974358974,0.03942378063163726,-0.05603448275862066,0.0625,-0.0035021551724137914
B,2026-03-03,1727,TWSE,49.7,0.0722761596548005,0.16941176470588237,0.034980669221962093,-0.06438631790744476,0.0625,-0.004024144869215297
B,2026-03-03,2254,TWSE,68.3,0.14214046822742477,0.16752136752136737,0.041136395696750885,0.02049780380673516,0.0625,0.0012811127379209475
B,2026-03-03,1717,TWSE,65.1,0.09966216216216206,0.14210526315789473,0.06857109784777472,-0.0875576036866359,0.0625,-0.005472350230414744
B,2026-03-04,2367,TWSE,71.0,0.16013071895424824,0.3271028037383177,0.05889056698279664,-0.015492957746478742,0.0625,-0.0009683098591549213
B,2026-03-04,1313,TWSE,12.8,0.1636363636363638,0.26108374384236455,0.0510197421331187,-0.0390625,0.0625,-0.00244140625
B,2026-03-04,1582,TWSE,81.4,0.16452074391988547,0.20771513353115734,0.02000775407666577,0.011056511056510843,0.0625,0.0006910319410319277
B,2026-03-04,2254,TWSE,69.7,0.15588723051409636,0.19145299145299144,0.04104283167493648,0.021520803443328518,0.0625,0.0013450502152080324
B,2026-03-04,1225,TWSE,32.25,0.10634648370497435,0.1436170212765957,0.04833003127725741,-0.023255813953488413,0.0625,-0.0014534883720930258
B,2026-03-04,2049,TWSE,241.5,0.03426124197002145,0.10022779043280172,0.05171315674253192,-0.008281573498964856,0.0625,-0.0005175983436853035
B,2026-03-04,2017,TWSE,9.5,0.07587768969422415,0.09573241061130333,0.04672146416435883,0.0052631578947368585,0.0625,0.00032894736842105365
B,2026-03-04,2387,TWSE,41.7,0.05837563451776662,0.08877284595300283,0.016317934611020643,0.011990407673860837,0.0625,0.0007494004796163023
B,2026-03-05,2338,TWSE,52.7,0.17765363128491618,0.516546762589928,0.07898491955705522,0.001897533206830948,0.0625,0.00011859582542693425
B,2026-03-05,2360,TWSE,1405.0,0.1195219123505975,0.3640776699029127,0.07106181746183993,-0.02135231316725983,0.0625,-0.0013345195729537393
B,2026-03-05,2367,TWSE,69.9,0.19080068143100526,0.3065420560747665,0.05004132685873387,-0.012875536480686733,0.0625,-0.0008047210300429208
B,2026-03-05,1582,TWSE,82.3,0.1757142857142857,0.22835820895522385,0.03625428453060475,0.09963547995139743,0.0625,0.0062272174969623395
B,2026-03-05,2404,TWSE,1100.0,0.06280193236714982,0.22494432071269488,0.06250677596110707,0.0,0.0625,0.0
B,2026-03-05,2254,TWSE,71.2,0.15772357723577235,0.21501706484641647,0.014474375183296187,0.018258426966291985,0.0625,0.001141151685393249
B,2026-03-05,1313,TWSE,12.3,0.08849557522123885,0.15492957746478875,0.05762429393307034,0.09756097560975596,0.0625,0.006097560975609748
B,2026-03-05,1809,TWSE,25.5,0.05154639175257736,0.11353711790393017,0.04505449731496688,-0.0039215686274510775,0.0625,-0.00024509803921569234
B,2026-03-06,2338,TWSE,52.8,0.07317073170731692,0.5552282768777612,0.07690677652169904,-0.09943181818181823,0.0625,-0.0062144886363636395
B,2026-03-06,2367,TWSE,69.0,0.06976744186046502,0.33720930232558133,0.044789518568286356,-0.09999999999999998,0.0625,-0.006249999999999999
B,2026-03-06,1582,TWSE,90.5,0.24484181568088026,0.3308823529411764,0.056454122538099484,-0.04972375690607733,0.0625,-0.0031077348066298333
B,2026-03-06,1313,TWSE,13.5,0.21076233183856496,0.29807692307692313,0.06283031285367174,-0.014814814814814725,0.0625,-0.0009259259259259203
B,2026-03-06,1735,TWSE,20.8,0.10344827586206895,0.2455089820359282,0.07661973021222218,-0.07692307692307698,0.0625,-0.004807692307692311
B,2026-03-06,2254,TWSE,72.5,0.0724852071005917,0.21848739495798308,0.029242544402676398,-0.04551724137931035,0.0625,-0.0028448275862068967
B,2026-03-06,1529,TWSE,27.05,0.05252918287937747,0.1916299559471366,0.0631713197426547,-0.033271719038817094,0.0625,-0.0020794824399260683
B,2026-03-06,2355,TWSE,43.45,0.03699284009546555,0.18231292517006814,0.04124967591563609,-0.06674338319907958,0.0625,-0.0041714614499424735
B,2026-03-09,2103,TWSE,21.25,0.12433862433862441,0.3076923076923077,0.053697115969639955,-0.030588235294117583,0.0625,-0.001911764705882349
B,2026-03-09,1310,TWSE,11.55,0.27202643171806185,0.2819089900110989,0.0650827241169842,-0.038961038961039085,0.0625,-0.002435064935064943
B,2026-03-09,1313,TWSE,13.3,0.16157205240174677,0.26066350710900466,0.06273906532346894,-0.06390977443609036,0.0625,-0.0039943609022556475
B,2026-03-09,1582,TWSE,86.0,0.1436170212765957,0.25547445255474455,0.0579875874208344,-0.0011627906976743319,0.0625,-7.267441860464574e-05
B,2026-03-09,1337,TWSE,6.21,0.1672932330827066,0.19653179190751446,0.07451942574955042,-0.08051529790660228,0.0625,-0.005032206119162642
B,2026-03-09,1225,TWSE,34.25,0.05061349693251538,0.1871750433275563,0.04567464305490085,-0.06423357664233587,0.0625,-0.004014598540145992
B,2026-03-09,1305,TWSE,14.05,0.1516393442622952,0.18067226890756305,0.07711444506216716,-0.0854092526690392,0.0625,-0.00533807829181495
B,2026-03-09,1304,TWSE,13.8,0.12653061224489792,0.17948717948717952,0.07060739849316269,-0.07608695652173914,0.0625,-0.004755434782608696
B,2026-03-10,1310,TWSE,11.1,0.11222444889779548,0.22923588039867115,0.056739416168519276,0.018018018018018056,0.0625,0.0011261261261261285
B,2026-03-10,1582,TWSE,85.9,0.1214099216710185,0.2271428571428573,0.053944209185904,0.018626309662397977,0.0625,0.0011641443538998736
B,2026-03-10,2103,TWSE,20.6,0.04834605597964381,0.15406162464985984,0.050831285979924444,-0.016990291262136026,0.0625,-0.0010618932038835016
B,2026-03-10,1309,TWSE,14.0,0.048689138576779145,0.14754098360655754,0.0794071176125853,-0.017857142857142905,0.0625,-0.0011160714285714315
B,2026-03-10,1529,TWSE,27.55,0.08678500986193294,0.11991869918699183,0.05159812890094704,-0.005444646098003658,0.0625,-0.00034029038112522864
B,2026-03-10,1337,TWSE,5.71,0.05740740740740735,0.08349146110056926,0.07052279387262318,0.008756567425569184,0.0625,0.000547285464098074
B,2026-03-10,2324,TWSE,31.75,0.046128500823723106,0.07627118644067798,0.016220410884596758,0.018897637795275646,0.0625,0.0011811023622047279
B,2026-03-10,1762,TWSE,29.5,0.08256880733944949,0.07272727272727275,0.041460582413528096,0.016949152542372836,0.0625,0.0010593220338983023
B,2026-03-11,1582,TWSE,87.5,0.07493857493857492,0.25178826895565076,0.055290535342608055,0.044571428571428706,0.0625,0.002785714285714294
B,2026-03-11,1310,TWSE,11.3,0.17463617463617487,0.24861878453038666,0.05489863088591824,0.03982300884955747,0.0625,0.002488938053097342
B,2026-03-11,1735,TWSE,20.9,0.12972972972972974,0.19770773638968486,0.07507278922753957,0.03349282296650724,0.0625,0.0020933014354067025
B,2026-03-11,2243,TWSE,13.95,0.18220338983050843,0.14814814814814814,0.06365318289681314,0.09677419354838723,0.0625,0.006048387096774202
B,2026-03-11,2357,TWSE,584.0,0.16799999999999993,0.13398058252427192,0.04608857723448878,-0.005136986301369828,0.0625,-0.00032106164383561425
B,2026-03-11,2017,TWSE,9.9,0.04210526315789487,0.12117780294450742,0.03704232057075451,-0.0121212121212122,0.0625,-0.0007575757575757625
B,2026-03-11,2387,TWSE,44.0,0.05515587529976007,0.11675126903553301,0.024211620138019013,-0.003409090909090917,0.0625,-0.00021306818181818232
B,2026-03-11,1529,TWSE,27.4,0.14644351464435146,0.10931174089068829,0.05279027511378774,0.0036496350364965124,0.0625,0.00022810218978103203
B,2026-03-12,1582,TWSE,91.4,0.11057108140947758,0.3057142857142858,0.03518587064754361,-0.012035010940919078,0.0625,-0.0007521881838074423
B,2026-03-12,2243,TWSE,15.3,0.2803347280334729,0.26970954356846466,0.059108285303927,0.019607843137254832,0.0625,0.001225490196078427
B,2026-03-12,1735,TWSE,21.6,0.13984168865435365,0.2594752186588922,0.075514792650187,0.09953703703703698,0.0625,0.006221064814814811
B,2026-03-12,1310,TWSE,11.75,0.21134020618556715,0.25937834941050375,0.04510581192447552,0.008510638297872353,0.0625,0.000531914893617022
B,2026-03-12,2367,TWSE,73.0,0.044349070100142995,0.24361158432708674,0.07395316153384399,-0.005479452054794609,0.0625,-0.00034246575342466307
B,2026-03-12,1309,TWSE,15.1,0.18897637795275601,0.18897637795275601,0.07825890225532842,0.013245033112582849,0.0625,0.0008278145695364281
B,2026-03-12,1727,TWSE,55.3,0.14020618556701026,0.1581151832460732,0.062347104196006684,0.09945750452079571,0.0625,0.006216094032549732
B,2026-03-12,2399,TWSE,26.15,0.10570824524312905,0.14692982456140347,0.06553760993694484,0.003824091778202643,0.0625,0.00023900573613766518
B,2026-03-13,2243,TWSE,15.6,0.31092436974789917,0.278688524590164,0.03531286800034573,0.09935897435897423,0.0625,0.006209935897435889
B,2026-03-13,1310,TWSE,11.85,0.11267605633802802,0.27419354838709653,0.029581641200721674,-0.008438818565400852,0.0625,-0.0005274261603375532
B,2026-03-13,1735,TWSE,23.75,0.14182692307692313,0.25994694960212184,0.05061679715929063,0.09894736842105267,0.0625,0.006184210526315792
B,2026-03-13,1309,TWSE,15.3,0.09677419354838723,0.2289156626506026,0.07164358508144086,0.065359477124183,0.0625,0.004084967320261437
B,2026-03-13,2368,TWSE,935.0,0.18055555555555558,0.13196125907990308,0.05005285508875933,-0.027807486631016065,0.0625,-0.001737967914438504
B,2026-03-13,2367,TWSE,72.6,0.05217391304347818,0.12558139534883717,0.0401067914775372,0.019283746556473913,0.0625,0.0012052341597796196
B,2026-03-13,1529,TWSE,28.85,0.06654343807763397,0.12256809338521402,0.02836440246471531,0.0017331022530329143,0.0625,0.00010831889081455714
B,2026-03-13,2399,TWSE,26.25,0.13146551724137945,0.10993657505285426,0.03857286360880906,0.03428571428571425,0.0625,0.002142857142857141
